sid,orig_text,post_text
447,TỔNG CỦA BA TRĂM HAI LĂM VÀ NĂM MƯƠI SÁU LÀ BAO NHIÊU,TỔNG CỦA 325 VÀ NĂM MƯƠI 6 LÀ BAO NHIÊU
448,MAI KA LÀ AI,MAI KA LÀ AI
449,MAI KA LÀ AI,MAI KA LÀ AI
450,QUẬN BA HÔM NAY THỜI TIẾT THẾ NÀO,QUẬN 3 HÔM NAY THỜI TIẾT THẾ NÀO
451,HÔM NAY Ở QUẬN BA CÓ MƯA KHÔNG,HÔM NAY Ở QUẬN BA CÓ MƯA KHÔNG
452,NHẮC TÔI UỐNG NƯỚC SAU NĂM PHÚT NỮA,NHẮC TÔI UỐNG NƯỚC SAU 5 PHÚT NỮA
453,ĐẶT BÁO THỨC LÚC NĂM GIỜ BA MƯƠI CHIỀU,ĐẶT BÁO THỨC LÚC 5 GIỜ 30 CHIỀU
454,CÀI BÁO THỨC LÚC BẢY GIỜ BA MƯƠI,CÀI BÁO THỨC LÚC 7 GIỜ 30
455,XOÁ NHẮC NHỞ TRƯỚC ĐÓ,XOÁ NHẮC NHỞ TRƯỚC ĐÓ
456,NHẮC TÔI BỐN GIỜ BA MƯƠI ĐI ĐÓN CON GÁI,NHẮC TÔI BỐN GIỜ 30 ĐI ĐÓN CON GÁI
457,TÔI CÓ LỊCH HỌP LÚC MƯỜI GIỜ,TÔI CÓ LỊCH HỌP LÚC 10 GIỜ
458,NHẮC TÔI ĐI CHƠI LÚC MƯỜI GIỜ,NHẮC TÔI ĐI CHƠI LÚC 10 GIỜ
459,MỞ KINH PHẬT TRONG NĂM PHÚT NỮA,MỞ KINH PHẬT TRONG 5 PHÚT NỮA
460,MỞ BÓT CÁT,MỞ BÓT CÁT
461,MỞ RA ĐI Ô ÉP EM CHÍN CHÍN CHẤM CHÍN,MỞ RA ĐI Ô ÉP EM 9 CHÍN CHẤM CHÍN
462,MỞ VÊ Ô VÊ GIAO THÔNG,MỞ VÊ Ô VÊ GIAO THÔNG
463,MỞ KÊNH CHÍN CHÍN CHẤM CHÍN,MỞ KÊNH CHÍN CHÍN CHẤM CHÍN
464,MỞ RA ĐI Ô,MỞ RA ĐI Ô
465,TẾT ÂM LỊCH HAI KHÔNG HAI BA NHẰM NGÀY MẤY,TẾT ÂM LỊCH 2023 NHẰM NGÀY MẤY
466,NĂM HAI NGÀN LÀ NĂM CON GÌ,NĂM 2000 LÀ NĂM CON GÌ
467,KỂ MƯỜI CHUYỆN NGỤ NGÔN,KỂ 10 CHUYỆN NGỤ NGÔN
468,KỂ GIÙM TUI BA CHUYỆN CỔ TÍCH,KỂ GIÙM TUI BA CHUYỆN CỔ TÍCH
469,KỂ CHUYỆN CỔ TÍCH ĐẾN MƯỜI GIỜ TỐI,KỂ CHUYỆN CỔ TÍCH ĐẾN 10 GIỜ TỐI
470,GIẢM XUỐNG HAI ĐỘ GIÙM,GIẢM XUỐNG 2 ĐỘ GIÙM
471,BAI BAI,BAI BAI
472,MỞ NHẠC TRỊNH ĐẾN NĂM GIỜ CHIỀU,MỞ NHẠC TRỊNH ĐẾN 5 GIỜ CHIỀU
473,MỞ BÀI CHIẾC LÁ THU PHAI MƯỜI LẦN CHO TUI,MỞ BÀI CHIẾC LÁ THU PHAI 10 LẦN CHO TUI
474,MỞ NHẠC TRONG MỘT TIẾNG,MỞ NHẠC TRONG MỘT TIẾNG
475,THỜI TIẾT HIỆN TẠI Ở ĐẮC LẮC,THỜI TIẾT HIỆN TẠI Ở ĐẮC LẮC
476,MƯỜI GIỜ SÁNG MAI NHẮC TÔI ĐI HỌP,10 GIỜ SÁNG MAI NHẮC TÔI ĐI HỌP
477,NHẮC TÔI ĐI NGỦ LÚC MƯỜI MỘT GIỜ,NHẮC TÔI ĐI NGỦ LÚC 11 GIỜ
478,CÀI BÁO THỨC LÚC MƯỜI GIỜ TỐI,CÀI BÁO THỨC LÚC 10 GIỜ TỐI
479,ĐẶT BÁO THỨC LÚC BẢY GIỜ BA MƯƠI,ĐẶT BÁO THỨC LÚC 7 GIỜ 30
480,NHẮC TÔI TẮT BẾP TRONG BA MƯƠI PHÚT NỮA,NHẮC TÔI TẮT BẾP TRONG 30 PHÚT NỮA
481,BỐN MƯƠI LĂM PHÚT NỮA NHẮC TÔI ĐI ĐÓN CON BẠN,45 PHÚT NỮA NHẮC TÔI ĐI ĐÓN CON BẠN
482,NHẮC TÔI ĐI TẬP THỂ DỤC VÀO MỖI BUỔI SÁNG LÚC SÁU GIỜ,NHẮC TÔI ĐI TẬP THỂ DỤC VÀO MỖI BUỔI SÁNG LÚC 6 GIỜ
483,MỞ PHẬT PHÁP TRONG HAI TIẾNG,MỞ PHẬT PHÁP TRONG 2 TIẾNG
484,MỞ BÀI GIẢNG CỦA THẦY THÍCH NHÂN,MỞ BÀI GIẢNG CỦA THẦY THÍCH NHÂN
485,MỞ PHÁT TÀI NHIỀU DẠNG SƯ,MỞ PHÁT TÀI NHIỀU DẠNG SƯ
486,MỞ KÊNH ÉP EM CHÍN MƯƠI CHÍN CHẤM CHÍN,MỞ KÊNH ÉP EM 90 CHÍN CHẤM CHÍN
487,ĐỌC TIN TRONG MƯỜI LĂM PHÚT,ĐỌC TIN TRONG 15 PHÚT
488,MỞ RA ĐI Ô NGẪU NHIÊN,MỞ RA ĐI Ô NGẪU NHIÊN
489,DANH SÁCH RA ĐI Ô ĐANG HỖ TRỢ,DANH SÁCH RA ĐI Ô ĐANG HỖ TRỢ
490,MỞ RA ĐI Ô HỒ CHÍ MINH,MỞ RA ĐI Ô HỒ CHÍ MINH
491,MỞ LẶP LẠI MƯỜI LẦN TIẾNG CHÓ SÓI,MỞ LẶP LẠI MƯỜI LẦN TIẾNG CHÓ SÓI
492,NGÀY TÁM THÁNG BA NÊN TẶNG GÌ CHO BẠN GÁI,NGÀY TÁM THÁNG BA NÊN TẶNG GÌ CHO BẠN GÁI
493,NGÀY MÙNG MỘT THÁNG TƯ LÀ NGÀY GÌ,NGÀY MÙNG MỘT THÁNG 4 LÀ NGÀY GÌ
494,TÔI MUỐN KẾT NỐI VỚI TI VI,TÔI MUỐN KẾT NỐI VỚI TI VI
495,TÔI MUỐN KẾT NỐI BỜ LU TÚT,TÔI MUỐN KẾT NỐI BỜ LU TÚT
496,KỂ TRUYỆN TRONG VÒNG BỐN MƯƠI LĂM PHÚT,KỂ TRUYỆN TRONG VÒNG 45 PHÚT
497,LÙI LẠI HAI BẢY,LÙI LẠI 27
498,MỞ NHẠC CHÍN ÍCH,MỞ NHẠC CHÍN ÍCH
499,THÁNG TÁM CÓ BAO NHIÊU NGÀY,THÁNG 8 CÓ BAO NHIÊU NGÀY
500,BÍT COI HÔM NAY GIẢM BAO NHIÊU,BÍT COI HÔM NAY GIẢM BAO NHIÊU
501,TỔNG THỐNG MỸ THỨ MƯỜI BA LÀ AI,TỔNG THỐNG MỸ THỨ 10 BA LÀ AI
502,HIỆN TẠI NGOÀI TRỜI TIA U VÊ LÀ BAO NHIÊU,HIỆN TẠI NGOÀI TRỜI TIA U VÊ LÀ BAO NHIÊU
503,NHẮC TUI ĐI NGỦ LÚC MƯỜI HAI GIỜ,NHẮC TUI ĐI NGỦ LÚC 12 GIỜ
504,NHẮC TÔI TƯỚI CÂY LÚC BẢY GIỜ NHA,NHẮC TÔI TƯỚI CÂY LÚC 7 GIỜ NHA
505,CHÍN GIỜ SÁNG MAI TUI CÓ NHẮC NHỞ GÌ KHÔNG,9 GIỜ SÁNG MAI TUI CÓ NHẮC NHỞ GÌ KHÔNG
506,NHẮC TÔI HỌP NHÓM TÁM GIỜ TỐI MỖI NGÀY,NHẮC TÔI HỌP NHÓM 8 GIỜ TỐI MỖI NGÀY
507,NHẮC TÔI UỐNG NƯỚC MỖI HAI TIẾNG,NHẮC TÔI UỐNG NƯỚC MỖI 2 TIẾNG
508,NHẮC TÔI TẬP THỂ DỤC LÚC BẢY GIỜ TỐI MỖI NGÀY,NHẮC TÔI TẬP THỂ DỤC LÚC 7 GIỜ TỐI MỖI NGÀY
509,NHẮC TUI PHƠI ĐỒ TRONG VÒNG MỘT TIẾNG NỮA,NHẮC TUI PHƠI ĐỒ TRONG VÒNG 1 TIẾNG NỮA
510,ĐẶT BÁO THỨC LÚC BA GIỜ SÁNG,ĐẶT BÁO THỨC LÚC 3 GIỜ SÁNG
511,HỦY BÁO THỨC LÚC BA GIỜ SÁNG,HỦY BÁO THỨC LÚC 3 GIỜ SÁNG
512,ĐẶT BÁO THỨC BẢY GIỜ SÁNG MỖI NGÀY,ĐẶT BÁO THỨC BẢY GIỜ SÁNG MỖI NGÀY
513,ĐẶT BÁO THỨC BẢY GIỜ SÁNG,ĐẶT BÁO THỨC 7 GIỜ SÁNG
514,MỞ BÓT CÁT VẬT VỜ,MỞ BÓT CÁT VẬT VỜ
515,MỞ RA ĐI Ô,MỞ RA ĐI Ô
516,TẮT RA ĐI Ô,TẮT RA ĐI Ô
517,MỞ RA ĐI Ô LÚC TÁM GIỜ,MỞ RA ĐI Ô LÚC 8 GIỜ
518,MỞ TIN TỨC CỦA VÊ Ô HẮT,MỞ TIN TỨC CỦA VÊ Ô HẮT
519,MỞ RA ĐI Ô ÉP EM CHÍN MƯƠI CHÍN PHẨY CHÍN MÊ GA HẸT,MỞ RA ĐI Ô ÉP EM 90 CHÍN PHẨY CHÍN MÊ GA HẸT
520,MỞ RA ĐI Ô VÊ Ô VÊ GIAO THÔNG,MỞ RA ĐI Ô VÊ Ô VÊ GIAO THÔNG
521,NGÀY BA THÁNG BA ÂM LỊCH VÀO THỨ MẤY,NGÀY BA THÁNG BA ÂM LỊCH VÀO THỨ MẤY
522,TẮT LU TÚT,TẮT LU TÚT
523,BẬT LU TÚT,BẬT LU TÚT
524,KỂ TRUYỆN TIẾP THEO,KỂ TRUYỆN TIẾP THEO
525,KỂ TRUYỆN CỔ TÍCH HAI TIẾNG,KỂ TRUYỆN CỔ TÍCH 2 TIẾNG
526,KỂ HAI TRUYỆN CỔ TÍCH,KỂ 2 TRUYỆN CỔ TÍCH
527,KÉO RÈM PHÒNG KHÁCH DÙM TÔI,KÉO RÈM PHÒNG KHÁCH DÙM TÔI
528,TĂNG MÁY LẠNH THÊM HAI ĐỘ,TĂNG MÁY LẠNH THÊM 2 ĐỘ
529,MỞ BÀI CHÂN TÌNH HAI LẦN,MỞ BÀI CHÂN TÌNH HAI LẦN
530,THỜI TIẾT BA NGÀY TIẾP THEO Ở ĐÀ NẴNG,THỜI TIẾT 3 NGÀY TIẾP THEO Ở ĐÀ NẴNG
531,THỜI TIẾT NGÀY BA MƯƠI THÁNG TƯ HAI KHÔNG HAI HAI Ở SA PA NHƯ THẾ NÀO,THỜI TIẾT NGÀY 30 THÁNG 4 HAI KHÔNG HAI HAI Ở SA PA NHƯ THẾ NÀO
532,NHẮC TÔI ĐI TẬP THỂ DỤC MỖI MƯỜI TÁM GIỜ HẰNG NGÀY,NHẮC TÔI ĐI TẬP THỂ DỤC MỖI 18 GIỜ HẰNG NGÀY
533,NHẮC TÔI GỌI ĐIỆN CHO BÀ MỖI MƯỜI CHÍN GIỜ THỨ SÁU HÀNG TUẦN,NHẮC TÔI GỌI ĐIỆN CHO BÀ MỖI 19 GIỜ THỨ 6 HÀNG TUẦN
534,NGÀY HAI MƯƠI LĂM THÁNG TƯ NHẮC TÔI THANH TOÁN TIỀN ĐIỆN,NGÀY 25 THÁNG 4 NHẮC TÔI THANH TOÁN TIỀN ĐIỆN
535,NHẮC TÔI UỐNG NƯỚC MỖI BẢY GIỜ SÁNG HẰNG NGÀY,NHẮC TÔI UỐNG NƯỚC MỖI 7 GIỜ SÁNG HẰNG NGÀY
536,XÓA NHẮC NHỞ ĐI NGỦ LÚC MƯỜI HAI GIỜ,XÓA NHẮC NHỞ ĐI NGỦ LÚC 12 GIỜ
537,NHẮC TÔI ĐI NGỦ LÚC MƯỜI HAI GIỜ,NHẮC TÔI ĐI NGỦ LÚC 12 GIỜ
538,NHẮC TÔI ĂN CƠM LÚC MƯỜI GIỜ,NHẮC TÔI ĂN CƠM LÚC 10 GIỜ
539,GỌI TÔI DẬY LÚC MƯỜI LĂM GIỜ,GỌI TÔI DẬY LÚC 15 GIỜ
540,BẬT BÁO THỨC LÚC TÁM GIỜ XÁNG,BẬT BÁO THỨC LÚC 8 GIỜ XÁNG
541,BÁO THỜI SỰ BÊ ÂU HẮC,BÁO THỜI SỰ BÊ ÂU HẮC
542,MỞ TIN TỨC VỀ HÀ ANH TUẤN,MỞ TIN TỨC VỀ HÀ ANH TUẤN
543,MỞ TRƯƠNG TRÌNH RA ĐI Ô BÚC,MỞ TRƯƠNG TRÌNH RA ĐI Ô BÚC
544,MỞ KÊNH EM ÉT TÁM CHÍN,MỞ KÊNH EM ÉT TÁM CHÍN
545,MỞ ĐÀI VI ÂU VI MỘT,MỞ ĐÀI VI ÂU VI MỘT
546,BẬT RA ĐI Ô LÚC SÁU GIỜ SÁNG,BẬT RA ĐI Ô LÚC 6 GIỜ SÁNG
547,TẮT RA ĐI Ô,TẮT RA ĐI Ô
548,MỞ KÊNH VIỆT NAM ỊT RÉT,MỞ KÊNH VIỆT NAM ỊT RÉT
549,TÌNH HÌNH DỊCH CO VÍT,TÌNH HÌNH DỊCH CO VÍT
550,BẬT RA ĐI Ô,BẬT RA ĐI Ô
551,TẾT ÂM LỊCH HAI NGÀN KHÔNG TRĂM HAI,TẾT ÂM LỊCH 2002
552,HAI THÁNG CHÍN LÀ THỨ MẤY,2 THÁNG 9 LÀ THỨ MẤY
553,BA MƯƠI THÁNG TƯ LÀ THỨ MẤY,30 THÁNG 4 LÀ THỨ MẤY
554,BÂY GIỜ LÀ MẤY GIỜ,BÂY GIỜ LÀ MẤY GIỜ
555,MỞ LU TÚT TRONG VÒNG BA MƯƠI PHÚC,MỞ LU TÚT TRONG VÒNG 30 PHÚC
556,TẮT LU TÚT,TẮT LU TÚT
557,MỞ TI VI KÊNH TÁM,MỞ TI VI KÊNH TÁM
558,MỞ LU TÚT,MỞ LU TÚT
559,NÓI TRUYỆN TRONG BA MƯƠI PHÚC,NÓI TRUYỆN TRONG BA MƯƠI PHÚC
560,KỂ TRUYỆN CỔ KỂ TRUYỆN CỔ TÍCH ĐẾN MƯỜI GIỜ TỐI LÚC CHUYỆN LÚC TRUYỆN,KỂ TRUYỆN CỔ KỂ TRUYỆN CỔ TÍCH ĐẾN 10 GIỜ TỐI LÚC CHUYỆN LÚC TRUYỆN
561,CẢI MỜI CẢI MƯỜI TRUYỆN NGỤ NGÔN,CẢI MỜI CẢI 10 TRUYỆN NGỤ NGÔN
562,KỂ CHUYỆN TRONG VÒNG BỐN MƯƠI LĂM PHÚC,KỂ CHUYỆN TRONG VÒNG 45 PHÚC
563,TĂNG MÁY LẠNH THÊM HAI ĐỘ,TĂNG MÁY LẠNH THÊM 2 ĐỘ
564,MỞ MÁY LẠNH HAI BA ĐỘ,MỞ MÁY LẠNH 23 ĐỘ
565,MỞ CHẾ ĐỘ QUẠT,MỞ CHẾ ĐỘ QUẠT
566,MỞ MƯỜI LĂM BÀI HÁT TRONG DANH SÁCH NHẠC BUỒN,MỞ 15 BÀI HÁT TRONG DANH SÁCH NHẠC BUỒN
567,MỞ DANH SÁCH NHẠC XUÔNG TRONG MỘT TIẾNG,MỞ DANH SÁCH NHẠC XUÔNG TRONG 1 TIẾNG
568,MỞ MƯỜI BÀI HÁT CỦA ĐEN VÂU,MỞ 10 BÀI HÁT CỦA ĐEN VÂU
569,MỞ BÀI NÀY MƯỜI LẦN,MỞ BÀI NÀY MƯỜI LẦN
570,MỞ BÀI VỪA MỚI VỪA PHÁT KHOẢNG MƯỜI LẦN Ạ,MỞ BÀI VỪA MỚI VỪA PHÁT KHOẢNG 10 LẦN Ạ
571,MỞ NHẠC CHÍN ÍT,MỞ NHẠC CHÍN ÍT
572,LŨY THỪA CỦA HAI NĂM SÁU LÀ GÌ,LŨY THỪA CỦA HAI 56 LÀ GÌ
573,TRƯA NAY TIA U VÊ LÀ BAO NHIÊU,TRƯA NAY TIA U VÊ LÀ BAO NHIÊU
574,NGÀY MAI Ở QUẬN BA CÓ MƯA KHÔNG,NGÀY MAI Ở QUẬN BA CÓ MƯA KHÔNG
575,QUẬN BA HÔM NAY CÓ MƯA KHÔNG,QUẬN 3 HÔM NAY CÓ MƯA KHÔNG
576,CHÍN GIỜ RƯỠI SÁNG NGÀY MAI NHẮC TÔI HỌP,9 GIỜ RƯỠI SÁNG NGÀY MAI NHẮC TÔI HỌP
577,NHẮC NHỞ TÔI MƯỜI MỘT GIỜ TỐI ĐI NGỦ,NHẮC NHỞ TÔI 11 GIỜ TỐI ĐI NGỦ
578,NHẮC TÔI NĂM PHÚT NỮA TAN CA,NHẮC TÔI NĂM PHÚT NỮA TAN CA
579,ĐẶT BÁO THỨC NGỦ DẬY LÚC BẢY GIỜ,ĐẶT BÁO THỨC NGỦ DẬY LÚC 7 GIỜ
580,ĐẶT BÁO THỨC BẢY GIỜ RƯỠI SÁNG,ĐẶT BÁO THỨC BẢY GIỜ RƯỠI SÁNG
581,CHUYỂN BÓT CÁT TIẾP THEO,CHUYỂN BÓT CÁT TIẾP THEO
582,TẮT BÓT CÁT,TẮT BÓT CÁT
583,PHÁT KINH PHẬT ĐẾN MƯỜI MỘT GIỜ TỐI,PHÁT KINH PHẬT ĐẾN 11 GIỜ TỐI
584,MỞ BÀI KINH NÀY HAI LẦN,MỞ BÀI KINH NÀY HAI LẦN
585,PHÁT BÓT CÁT,PHÁT BÓT CÁT
586,MỞ BÓT CÁT MỚI NHẤT,MỞ BÓT CÁT MỚI NHẤT
587,MỞ RA ĐI Ô ĐẾN TÁM GIỜ TỐI,MỞ RA ĐI Ô ĐẾN 8 GIỜ TỐI
588,MỞ KÊNH RA ĐI Ô,MỞ KÊNH RA ĐI Ô
589,MỞ CHƯƠNG TRÌNH RA ĐI Ô,MỞ CHƯƠNG TRÌNH RA ĐI Ô
590,PHÁT ÂM THANH TRẮNG ĐẾN CHÍN GIỜ RƯỠI,PHÁT ÂM THANH TRẮNG ĐẾN 9 GIỜ RƯỠI
591,MỞ ÂM THANH TRẮNG TRONG BA MƯƠI PHÚT,MỞ ÂM THANH TRẮNG TRONG 30 PHÚT
592,NGÀY HAI MƯƠI SÁU THÁNG BA LÀ NGÀY GÌ,NGÀY 26 THÁNG BA LÀ NGÀY GÌ
593,KẾT NỐI BỜ LU TÚT,KẾT NỐI BỜ LU TÚT
594,TẮT BỜ LU TÚT,TẮT BỜ LU TÚT
595,BẬT CHẾ ĐỘ BỜ LU TÚT,BẬT CHẾ ĐỘ BỜ LU TÚT
596,KỂ CHUYỆN ĐẾN MƯỜI GIỜ RƯỠI TỐI,KỂ CHUYỆN ĐẾN MƯỜI GIỜ RƯỠI TỐI
597,ĐỌC TRUYỆN NÀY BA LẦN,ĐỌC TRUYỆN NÀY BA LẦN
598,ĐỌC TRUYỆN CỔ TÍCH MƯỜI LẦN,ĐỌC TRUYỆN CỔ TÍCH 10 LẦN
599,ĐỌC MƯỜI TRUYỆN CỔ TÍCH,ĐỌC MƯỜI TRUYỆN CỔ TÍCH
600,PHÁT LIÊN TỤC BÀI NÀY NĂM LẦN,PHÁT LIÊN TỤC BÀI NÀY NĂM LẦN
601,MỞ MƯỜI LĂM BÀI HÁT TRONG DANH SÁCH NHẠC BUỒN,MỞ 15 BÀI HÁT TRONG DANH SÁCH NHẠC BUỒN
602,MỞ DANH SÁCH NHẠC THƯ GIÃN TRONG MỘT TIẾNG,MỞ DANH SÁCH NHẠC THƯ GIÃN TRONG 1 TIẾNG
603,PHÁT BÀI NÀY ĐẾN MƯỜI GIỜ TỐI,PHÁT BÀI NÀY ĐẾN 10 GIỜ TỐI
604,MỞ MƯỜI BÀI HÁT CỦA ĐEN VÂU,MỞ 10 BÀI HÁT CỦA ĐEN VÂU
605,MỞ BÀI NÀY MƯỜI LẦN,MỞ BÀI NÀY MƯỜI LẦN
606,MỞ BÀI VỪA MỚI PHÁT KHOẢNG MƯỜI LẦN,MỞ BÀI VỪA MỚI PHÁT KHOẢNG 10 LẦN
607,SỐ CA CÔ VÍT HÔM NAY,SỐ CA CÔ VÍT HÔM NAY
608,ÉP KHÔNG NÊN LÀM GÌ,ÉP KHÔNG NÊN LÀM GÌ
609,ĐỔI MƯỜI ĐÔ SING SANG TIỀN VIỆT,ĐỔI 10 ĐÔ SING SANG TIỀN VIỆT
610,GIÁ XĂNG CHÍN HAI HÔM NAY,GIÁ XĂNG 92 HÔM NAY
611,MỘT VỚI MỘT LÀ MẤY,MỘT VỚI MỘT LÀ MẤY
612,NA TÔ GỒM NHỮNG NƯỚC NÀO,NA TÔ GỒM NHỮNG NƯỚC NÀO
613,BU TIN LÀM TỔNG THỐNG BAO NHIÊU NĂM RỒI,BU TIN LÀM TỔNG THỐNG BAO NHIÊU 5 RỒI
614,TỔNG THỐNG U RAI NA LÀ AI,TỔNG THỐNG U RAI NA LÀ AI
615,CHỈ SỐ U VÊ Ở RẠCH GIÁ SÁNG NAY,CHỈ SỐ U VÊ Ở RẠCH GIÁ SÁNG NAY
616,THỜI TIẾT QUẬN MƯỜI HAI HÔM NAY,THỜI TIẾT QUẬN 12 HÔM NAY
617,MƯỜI GIỜ SÁNG MAI TÔI CÓ CUỘC HỌP NHẮC TÔI TRƯỚC NỬA TIẾNG,10 GIỜ SÁNG MAI TÔI CÓ CUỘC HỌP NHẮC TÔI TRƯỚC NỬA TIẾNG
618,BA MƯƠI GIÂY NỮA NHẮC TÔI GỠ HÌNH DÁN,30 GIÂY NỮA NHẮC TÔI GỠ HÌNH DÁN
619,NHẮC TÔI GỠ MẶT NẠ DƯỠNG ẨM SAU NĂM PHÚT,NHẮC TÔI GỠ MẶT NẠ DƯỠNG ẨM SAU 5 PHÚT
620,NHẮC TÔI TRẢ NỢ THẺ TÍN DỤNG VÀO NGÀY MƯỜI LĂM HÀNG THÁNG,NHẮC TÔI TRẢ NỢ THẺ TÍN DỤNG VÀO NGÀY 15 HÀNG THÁNG
621,NHẮC TÔI ĐI BƠI VÀO SÁU GIỜ SÁNG MỖI THỨ BẢY,NHẮC TÔI ĐI BƠI VÀO 6 GIỜ SÁNG MỖI THỨ BẢY
622,NHẮC TÔI UỐNG THUỐC VÀO MƯỜI MỘT GIỜ,NHẮC TÔI UỐNG THUỐC VÀO 11 GIỜ
623,NHẮC TÔI SAU MỘT PHÚT NỮA,NHẮC TÔI SAU 1 PHÚT NỮA
624,ĐẶT CHUÔNG BÁO LÚC TÁM GIỜ SÁNG MỖI NGÀY,ĐẶT CHUÔNG BÁO LÚC 8 GIỜ SÁNG MỖI NGÀY
625,BÁO THỨC LÚC BẢY GIỜ SÁNG,BÁO THỨC LÚC 7 GIỜ SÁNG
626,MỞ CHƯƠNG TRÌNH ÚP MỞ CỦA VÊ EN ÍT RÉT,MỞ CHƯƠNG TRÌNH ÚP MỞ CỦA VÊ EN ÍT RÉT
627,MỞ LẠI BỐT CÁT,MỞ LẠI BỐT CÁT
628,TẮT BỐT CÁT,TẮT BỐT CÁT
629,BỎ QUA HAI TẬP BỐT CÁT,BỎ QUA HAI TẬP BỐT CÁT
630,MỞ BỐT CÁT VỀ GIẢI TRÍ,MỞ BỐT CÁT VỀ GIẢI TRÍ
631,MỞ TẬP BỐT CÁT TIẾP THEO,MỞ TẬP BỐT CÁT TIẾP THEO
632,MỞ KÊNH BÓT CÁT KHÁC,MỞ KÊNH BÓT CÁT KHÁC
633,MỞ BỐT CÁT CỦA NGUYỄN PHI VÂN,MỞ BỐT CÁT CỦA NGUYỄN PHI VÂN
634,MỞ BỐT CÁT CỦA QUỐC KHÁNH SƠ,MỞ BỐT CÁT CỦA QUỐC KHÁNH SƠ
635,MỞ BỐT CÁT,MỞ BỐT CÁT
636,TIN TỨC BÁO TUỔI TRẺ NGÀY MƯỜI TÁM THÁNG BA,TIN TỨC BÁO TUỔI TRẺ NGÀY 18 THÁNG 3
637,TIN TỨC VỀ BU TIN,TIN TỨC VỀ BU TIN
638,TIN TỨC BÁO VÊ ÍT RÉT,TIN TỨC BÁO VÊ ÍT RÉT
639,TẮT RA ĐI Ô,TẮT RA ĐI Ô
640,MỞ ĐÀI VÊ Ô VÊ,MỞ ĐÀI VÊ Ô VÊ
641,MỞ RA ĐI Ô CHƯƠNG TRÌNH BẠN HỮU ĐƯỜNG XA,MỞ RA ĐI Ô CHƯƠNG TRÌNH BẠN HỮU ĐƯỜNG XA
642,MỞ RA ĐI Ô CHÍN CHÍN CHẤM CHÍN,MỞ RA ĐI Ô CHÍN CHÍN CHẤM CHÍN
643,MỞ RA ĐI Ô,MỞ RA ĐI Ô
644,MỞ ÂM THANH TRẮNG ĐẾN MƯỜI GIỜ TỐI,MỞ ÂM THANH TRẮNG ĐẾN 10 GIỜ TỐI
645,MỞ ÂM THANH TRẮNG TRONG HAI TIẾNG,MỞ ÂM THANH TRẮNG TRONG 2 TIẾNG
646,RẰM THÁNG TÁM LÀ NGÀY MẤY DƯƠNG,RẰM THÁNG TÁM LÀ NGÀY MẤY DƯƠNG
647,CÒN MẤY NGÀY NỮA ĐẾN NGÀY MỘT THÁNG TƯ,CÒN MẤY NGÀY NỮA ĐẾN NGÀY MỘT THÁNG 4
648,NGÀY MỘT THÁNG TƯ DƯƠNG LÀ NGÀY MẤY ÂM,NGÀY MỘT THÁNG 4 DƯƠNG LÀ NGÀY MẤY ÂM
649,NGÀY MỘT THÁNG TƯ TRÚNG THỨ MẤY,NGÀY 1 THÁNG 4 TRÚNG THỨ MẤY
650,TĂNG ÂM LƯỢNG LÊN HAI MỨC,TĂNG ÂM LƯỢNG LÊN 2 MỨC
651,ÂM LƯỢNG MỨC MỘT,ÂM LƯỢNG MỨC 1
652,MỞ LU TÚT,MỞ LU TÚT
653,TẮT TRUYỆN VÀO MỘT GIỜ ĐÊM,TẮT TRUYỆN VÀO 1 GIỜ ĐÊM
654,TẮT TRUYỆN SAU MỘT TIẾNG NỮA,TẮT TRUYỆN SAU 1 TIẾNG NỮA
655,ĐỌC TRUYỆN TRONG VÒNG HAI GIỜ,ĐỌC TRUYỆN TRONG VÒNG 2 GIỜ
656,ĐỌC TRUYỆN ĐẾN MƯỜI MỘT GIỜ ĐÊM,ĐỌC TRUYỆN ĐẾN 11 GIỜ ĐÊM
657,ĐỌC NĂM TRUYỆN CỔ TÍCH,ĐỌC NĂM TRUYỆN CỔ TÍCH
658,ĐỌC TRUYỆN AN ĐÉT SEN,ĐỌC TRUYỆN AN ĐÉT SEN
659,GIẢM NHIỆT ĐỘ MÁY LẠNH XUỐNG HAI ĐỘ,GIẢM NHIỆT ĐỘ MÁY LẠNH XUỐNG 2 ĐỘ
660,TĂNG MÁY LẠNH LÊN HAI ĐỘ,TĂNG MÁY LẠNH LÊN 2 ĐỘ
661,CHỈNH NHIỆT ĐỘ ĐIỀU HÒA THÀNH HAI LĂM ĐỘ,CHỈNH NHIỆT ĐỘ ĐIỀU HÒA THÀNH 25 ĐỘ
662,BẬT TI VI,BẬT TI VI
663,THÊM BÀI NÀY VÀO DANH SÁCH YÊU THÍCH,THÊM BÀI NÀY VÀO DANH SÁCH YÊU THÍCH
664,MỞ BÀI NÀY ĐẾN MƯỜI RƯỠI SÁNG,MỞ BÀI NÀY ĐẾN 10.5 SÁNG
665,MỞ BÀI NÀY TRONG MỘT GIỜ,MỞ BÀI NÀY TRONG 1 GIỜ
666,LẶP LẠI BÀI NÀY MƯỜI LẦN,LẶP LẠI BÀI NÀY MƯỜI LẦN
667,MỞ NHẠC RU NGỦ ĐẾN MƯỜI HAI GIỜ ĐÊM,MỞ NHẠC RU NGỦ ĐẾN 12 GIỜ ĐÊM
